case_id,source,source_url,title,username_forum,username_rollbit,country,post_date,captured_at,amount_usd,amount_currency,amount_native,amount_status,category,status,counted_in_totals,confidence_score,cross_post_group,alternate_urls,notes_on_verification,summary,rollbit_response
BTC-004,bitcointalk,https://bitcointalk.org/index.php?topic=5520613.0,"Opened 70x leverage position with $44,000 on BTC futures",tetaeridanus,,,2024-11-25,2026-04-19T00:00:00Z,44000.0,USD,,confirmed,maintenance_scam,UNRESOLVED,True,0.85,,,Imported from the repository's prior corpus with a direct public source URL.,"Opened 70x leverage position with $44,000 on BTC futures. Platform went offline for 'scheduled maintenance' 30 min before US market open with minimal notice (10 min Telegram pin only). Before maintenance: +$2,000 profit at BTC $98,100. During maintenance: BTC dumped to $97,200. Position loss when site returned: -$36,000. Liquidation price: $96,800. User reports $250,000 cumulative losses over 3 months.",Rollbit reimbursed traders whose positions were liquidated during maintenance but refused compensation because this user's trade remained 'live' after maintenance ended. Directed to legal@rollbit.com.
TP-008,trustpilot,https://www.trustpilot.com/review/www.rollbit.com,Account closed,Anon,,,2024-12-17,2026-04-19T00:00:00Z,13000.0,USD,,claimed,account_closure,UNRESOLVED,True,0.5,,,"Imported from the repository's prior Trustpilot extraction. The historical export preserved reviewer/date/amount fields but not stable per-review URLs, so the corpus retains the main review page as the public source locator.","Account closed. $13,000 seized. Claimed duplicate accounts without proof.",
TP-018,trustpilot,https://www.trustpilot.com/review/www.rollbit.com,"Won $2,000",Karolis Golcas,,,2025-01-13,2026-04-19T00:00:00Z,2000.0,USD,,claimed,multiple_accounts_accusation,UNRESOLVED,True,0.5,,,"Imported from the repository's prior Trustpilot extraction. The historical export preserved reviewer/date/amount fields but not stable per-review URLs, so the corpus retains the main review page as the public source locator.","Won $2,000. Claimed duplicate accounts, refused details. Planning legal action.",
TP-032,trustpilot,https://www.trustpilot.com/review/www.rollbit.com,Futures bet closed over 5 cent funding right before massive pump,fuckthis site,,,2025-01-15,2026-04-19T00:00:00Z,500.0,USD,,claimed,futures_manipulation,UNRESOLVED,True,0.5,,,"Imported from the repository's prior Trustpilot extraction. The historical export preserved reviewer/date/amount fields but not stable per-review URLs, so the corpus retains the main review page as the public source locator.",Futures bet closed over 5 cent funding right before massive pump. Scammed out of $500.,
TP-007,trustpilot,https://www.trustpilot.com/review/www.rollbit.com,Account suspended after KYC submission,COUNTRY,,,2025-02-04,2026-04-19T00:00:00Z,18000.0,USD,,claimed,winning_block,UNRESOLVED,True,0.5,,,"Imported from the repository's prior Trustpilot extraction. The historical export preserved reviewer/date/amount fields but not stable per-review URLs, so the corpus retains the main review page as the public source locator.","Account suspended after KYC submission. $18,000 balance drained to $23. Questions timing after becoming profitable.",
TP-036,trustpilot,https://www.trustpilot.com/review/www.rollbit.com,$300 deposit,Jonathan Walsh,,,2025-02-10,2026-04-19T00:00:00Z,300.0,USD,,claimed,account_closure,UNRESOLVED,True,0.5,,,"Imported from the repository's prior Trustpilot extraction. The historical export preserved reviewer/date/amount fields but not stable per-review URLs, so the corpus retains the main review page as the public source locator.",$300 deposit. No bonuses or winnings.,
TP-037,trustpilot,https://www.trustpilot.com/review/www.rollbit.com,Account closed unexpectedly,Dan,,,2025-02-14,2026-04-19T00:00:00Z,150.0,USD,,claimed,account_closure,UNRESOLVED,True,0.5,,,"Imported from the repository's prior Trustpilot extraction. The historical export preserved reviewer/date/amount fields but not stable per-review URLs, so the corpus retains the main review page as the public source locator.",Account closed unexpectedly. $150 unretrieved.,
TP-010,trustpilot,https://www.trustpilot.com/review/www.rollbit.com,"$6,000 non-withdrawable after passing verification",Lukas Adamec,,,2025-02-23,2026-04-19T00:00:00Z,6000.0,USD,,claimed,kyc_delay_tactic,UNRESOLVED,True,0.5,,,"Imported from the repository's prior Trustpilot extraction. The historical export preserved reviewer/date/amount fields but not stable per-review URLs, so the corpus retains the main review page as the public source locator.","$6,000 non-withdrawable after passing verification.",
BTC-015,bitcointalk,https://bitcointalk.org/index.php?topic=5537096.60,Account funds blocked with restricted betting/playing access,buik,,,2025-03-01,2026-04-19T00:00:00Z,,USD,,unquantified,multiple_accounts_accusation,UNRESOLVED,True,0.55,,,Imported from the repository's prior corpus with a direct public source URL.,"Account funds blocked with restricted betting/playing access. Received THREE different explanations: 1) Multiple accounts, 2) AML issue, 3) Sports betting abuse. Still has full login access but restricted from betting or playing. Deposit refund request denied.",
TP-009,trustpilot,https://www.trustpilot.com/review/www.rollbit.com,"$6,800 trapped",Miladin Trisic,,,2025-03-05,2026-04-19T00:00:00Z,6800.0,USD,,claimed,multiple_accounts_accusation,UNRESOLVED,True,0.5,,,"Imported from the repository's prior Trustpilot extraction. The historical export preserved reviewer/date/amount fields but not stable per-review URLs, so the corpus retains the main review page as the public source locator.","$6,800 trapped. Multi-account accusation without proof.",
BTC-013,bitcointalk,https://bitcointalk.org/index.php?topic=5534596.0,Blocked from withdrawing after sportsbook play,hind411,,,2025-03-08,2026-04-19T00:00:00Z,2190.0,USD,,confirmed,multiple_accounts_accusation,UNRESOLVED,True,0.65,,,Imported from the repository's prior corpus with a direct public source URL.,"Blocked from withdrawing after sportsbook play. KYC Level 3 completed (ID, address proof, selfie). Support repeatedly asked to 'list other accounts' despite user having only one. Support ceased meaningful communication, copying same message.",
TP-023,trustpilot,https://www.trustpilot.com/review/www.rollbit.com,Won $800,Alex Torres,,,2025-03-13,2026-04-19T00:00:00Z,800.0,USD,,claimed,winning_block,UNRESOLVED,True,0.5,,,"Imported from the repository's prior Trustpilot extraction. The historical export preserved reviewer/date/amount fields but not stable per-review URLs, so the corpus retains the main review page as the public source locator.",Won $800. Account blocked immediately.,
TP-020,trustpilot,https://www.trustpilot.com/review/www.rollbit.com,"$1,500 seized after 2-month support process",customer (Mar 15),,,2025-03-15,2026-04-19T00:00:00Z,1500.0,USD,,claimed,account_closure,UNRESOLVED,True,0.5,,,"Imported from the repository's prior Trustpilot extraction. The historical export preserved reviewer/date/amount fields but not stable per-review URLs, so the corpus retains the main review page as the public source locator.","$1,500 seized after 2-month support process.",
TP-030,trustpilot,https://www.trustpilot.com/review/www.rollbit.com,Account closed with $500,Rollbit fraudsters,,,2025-04-09,2026-04-19T00:00:00Z,500.0,USD,,claimed,multiple_accounts_accusation,UNRESOLVED,True,0.5,,,"Imported from the repository's prior Trustpilot extraction. The historical export preserved reviewer/date/amount fields but not stable per-review URLs, so the corpus retains the main review page as the public source locator.",Account closed with $500. Claims 'multiple accounts'.,
BTC-014,bitcointalk,https://bitcointalk.org/index.php?topic=5538532.0,"Deposited $100, won $400 via sports betting",kofemaniac,,,2025-04-19,2026-04-19T00:00:00Z,400.0,USD,,confirmed,multiple_accounts_accusation,RESOLVED,True,0.65,,,Imported from the repository's prior corpus with a direct public source URL.,"Deposited $100, won $400 via sports betting. Account flagged. Accused of 'email/address combo linked to same account'. Compliance promised 20-day response but went silent for 27 days. Resolved after forum moderator intervention.",
BTC-008,bitcointalk,https://bitcointalk.org/index.php?topic=5538592.0,Account restricted from sportsbook and withdrawals,steluz,,,2025-04-20,2026-04-19T00:00:00Z,5486.0,USD,,confirmed,multiple_accounts_accusation,UNRESOLVED,True,0.7,,,Imported from the repository's prior corpus with a direct public source URL.,"Account restricted from sportsbook and withdrawals. Completed KYC tier 3 including live verification. Had previous successful $3,000 withdrawal on Jan 20. Compliance asked about 'other accounts' which user denies having. 80+ days without response from compliance@rollbit.com.",
BT-017,bitcointalk,https://bitcointalk.org/index.php?topic=5539143.0;wap,HELP! Rollbit holding my $30K hostage - won't release funds,ymcmbitcoin,,,2025-04-21,2026-04-19T00:00:00Z,30000.0,USD,"$30,000",confirmed,winning_block,UNRESOLVED,True,0.8,,,"Direct Bitcointalk WAP capture. Public complaint states full KYC completion, a winning streak, and a subsequent multi-account accusation tied to the withdrawal request.","User says a roughly $30,000 winning balance was frozen after full KYC, with Rollbit refusing to proceed unless the user admitted to other accounts that he says do not exist.","According to the complaint, support insisted the user list other accounts before any further review."
TP-013,trustpilot,https://www.trustpilot.com/review/www.rollbit.com,"Deposited ~$2,800 BTC, grew to ~$5,400",Εμμανουήλ Κατάκης,,,2025-05-07,2026-04-19T00:00:00Z,5400.0,USD,,claimed,kyc_delay_tactic,UNRESOLVED,True,0.5,,,"Imported from the repository's prior Trustpilot extraction. The historical export preserved reviewer/date/amount fields but not stable per-review URLs, so the corpus retains the main review page as the public source locator.","Deposited ~$2,800 BTC, grew to ~$5,400. KYC completed. Withdrawal refused. Two winning bets cancelled without explanation.",
TP-041,trustpilot,https://www.trustpilot.com/review/www.rollbit.com,Game developer mode mishap,Tylr J. Rbrsn,,,2025-05-10,2026-04-19T00:00:00Z,,USD,,unquantified,account_closure,UNRESOLVED,True,0.5,,,"Imported from the repository's prior Trustpilot extraction. The historical export preserved reviewer/date/amount fields but not stable per-review URLs, so the corpus retains the main review page as the public source locator.","Game developer mode mishap. Platform confiscated winnings, deleted records. Players banned, account data deleted. Also alleged 2023 Christmas wager competition was rigged (founder won).",
TP-045,trustpilot,https://www.trustpilot.com/review/www.rollbit.com,Completed biometric KYC,Anastasia,,,2025-05-12,2026-04-19T00:00:00Z,,USD,,unquantified,multiple_accounts_accusation,UNRESOLVED,True,0.5,,,"Imported from the repository's prior Trustpilot extraction. The historical export preserved reviewer/date/amount fields but not stable per-review URLs, so the corpus retains the main review page as the public source locator.",Completed biometric KYC. Withdrawals remain blocked. Withdrawal limits set to $0.40. Accused of having other accounts.,
BT-016,bitcointalk,https://bitcointalk.org/index.php?topic=5543348.0;wap,"[SCAM] Rollbit $2700 withheld, false accusations, and AML threats after full KYC",mikitriki,,,2025-05-14,2026-04-19T00:00:00Z,2700.0,USD,$2700,confirmed,multiple_accounts_accusation,UNRESOLVED,True,0.83,,,"Direct Bitcointalk WAP capture. Complaint includes deposit/withdrawal timeline, KYC history, screenshots, and cited AML-threat correspondence.","User says Rollbit processed normal activity until a $2,700 withdrawal request, then escalated KYC, alleged multiple accounts without evidence, and later threatened AML reporting.","According to the complaint, Rollbit asked the user to list other accounts and later rejected the complaint while citing AML concerns."
TP-024,trustpilot,https://www.trustpilot.com/review/www.rollbit.com,$782 withheld,Fabybet,,,2025-05-21,2026-04-19T00:00:00Z,782.0,USD,,claimed,multiple_accounts_accusation,UNRESOLVED,True,0.5,,,"Imported from the repository's prior Trustpilot extraction. The historical export preserved reviewer/date/amount fields but not stable per-review URLs, so the corpus retains the main review page as the public source locator.",$782 withheld. False multiple-account accusations despite KYC. Organizing class action lawsuit.,
TP-031,trustpilot,https://www.trustpilot.com/review/www.rollbit.com,"Deposited $500, balance grew to $593",Mikhail Kuleshov,,,2025-06-06,2026-04-19T00:00:00Z,593.0,USD,,claimed,multiple_accounts_accusation,UNRESOLVED,True,0.5,,,"Imported from the repository's prior Trustpilot extraction. The historical export preserved reviewer/date/amount fields but not stable per-review URLs, so the corpus retains the main review page as the public source locator.","Deposited $500, balance grew to $593. Account blocked with false multiple-account accusations.",
TP-035,trustpilot,https://www.trustpilot.com/review/www.rollbit.com,Non-payment of $370 on three MLS football bets,inter,,,2025-06-17,2026-04-19T00:00:00Z,370.0,USD,,claimed,sportsbook_abuse,UNRESOLVED,True,0.5,,,"Imported from the repository's prior Trustpilot extraction. The historical export preserved reviewer/date/amount fields but not stable per-review URLs, so the corpus retains the main review page as the public source locator.",Non-payment of $370 on three MLS football bets.,
CG-004,casino_guru,https://casino.guru/complaints/rollbit-casino-player-s-account-has-been-closed,Rollbit Casino - Player’s account has been closed.,bgmbomb,,Poland,2025-06-19,2026-04-19T00:00:00Z,3189.0,USDC,"3,189 USDC",confirmed,multiple_accounts_accusation,UNRESOLVED,True,0.79,XPOST-BGMBET-3189,https://bitcointalk.org/index.php?topic=5547447.0,Casino Guru complaint page contains public case summary and dates. Alternate Bitcointalk thread matches the same user/amount pattern and is treated as the same incident.,"Casino Guru summarized a complaint from a Polish player whose 3,189 USDC withdrawal was put on hold, then the account was disabled and framed as a multiple-account case despite prior verification.","Casino Guru said the casino would not engage while the player's internal complaint process was pending, and the matter was later marked unresolved."
TP-044,trustpilot,https://www.trustpilot.com/review/www.rollbit.com,Fully verified KYC Levels 1-4,KOT777,,,2025-07-01,2026-04-19T00:00:00Z,2000.0,USD,,claimed,kyc_delay_tactic,UNRESOLVED,True,0.5,,,"Imported from the repository's prior Trustpilot extraction. The historical export preserved reviewer/date/amount fields but not stable per-review URLs, so the corpus retains the main review page as the public source locator.","Fully verified KYC Levels 1-4. 7 successful withdrawals totaling $2,000+ USDT between Nov 2024 and July 2025. Since July 2025 withdrawals blocked with 'Functionality temporarily restricted'.",
TP-005,trustpilot,https://www.trustpilot.com/review/www.rollbit.com,"Won $13,600 on $26,700 deposit",Jacob Izraelov,,,2025-08-12,2026-04-19T00:00:00Z,13600.0,USD,,claimed,kyc_delay_tactic,UNRESOLVED,True,0.5,,,"Imported from the repository's prior Trustpilot extraction. The historical export preserved reviewer/date/amount fields but not stable per-review URLs, so the corpus retains the main review page as the public source locator.","Won $13,600 on $26,700 deposit. Withdrawal pending 'review' with no ETA. First issue after numerous prior transactions.",
TP-003,trustpilot,https://www.trustpilot.com/review/www.rollbit.com,"Won $99,000 total",Fation Larashi,,,2025-08-14,2026-04-19T00:00:00Z,47000.0,USD,,claimed,winning_block,UNRESOLVED,True,0.5,,,"Imported from the repository's prior Trustpilot extraction. The historical export preserved reviewer/date/amount fields but not stable per-review URLs, so the corpus retains the main review page as the public source locator.","Won $99,000 total. Withdrew $52,000 successfully. Remaining $47,000 blocked. Accused of money laundering without evidence.",
TP-016,trustpilot,https://www.trustpilot.com/review/www.rollbit.com,"2,230 USDT withdrawal blocked",Gautam,,,2025-08-28,2026-04-19T00:00:00Z,2230.0,USD,,claimed,multiple_accounts_accusation,UNRESOLVED,True,0.5,,,"Imported from the repository's prior Trustpilot extraction. The historical export preserved reviewer/date/amount fields but not stable per-review URLs, so the corpus retains the main review page as the public source locator.","2,230 USDT withdrawal blocked. Won cricket bets. False multiple-account accusations.",
TP-015,trustpilot,https://www.trustpilot.com/review/www.rollbit.com,"$3,100 stolen",Patryk,,,2025-09-02,2026-04-19T00:00:00Z,3100.0,USD,,claimed,multiple_accounts_accusation,UNRESOLVED,True,0.5,,,"Imported from the repository's prior Trustpilot extraction. The historical export preserved reviewer/date/amount fields but not stable per-review URLs, so the corpus retains the main review page as the public source locator.","$3,100 stolen. Accused of multiple accounts without evidence.",
CG-005,casino_guru,https://casino.guru/complaints/rollbit-casino-player-s-withdrawals-are-blocked-by,Rollbit Casino - Player's withdrawals are blocked by casino.,MIR218,,Moldova,2025-10-01,2026-04-19T00:00:00Z,1935.0,USDT,"1,935 USDT",confirmed,kyc_delay_tactic,UNRESOLVED,True,0.77,,,"Casino Guru public summary shows the amount, dates, and unresolved outcome under its no-reaction policy.","Moldovan user reported that a fully verified account had withdrawals blocked since July 2025, leaving 1,935 USDT inaccessible and producing only vague support responses.",Casino Guru reported repeated non-cooperation and closed the complaint as unresolved.
TP-004,trustpilot,https://www.trustpilot.com/review/www.rollbit.com,"Won $22,000",chonex,,,2025-10-11,2026-04-19T00:00:00Z,22000.0,USD,,claimed,multiple_accounts_accusation,UNRESOLVED,True,0.5,,,"Imported from the repository's prior Trustpilot extraction. The historical export preserved reviewer/date/amount fields but not stable per-review URLs, so the corpus retains the main review page as the public source locator.","Won $22,000. Account blocked. Accused of multiple accounts (denies). Four support emails unanswered.",
TP-019,trustpilot,https://www.trustpilot.com/review/www.rollbit.com,"$1,935 USDT stuck",Дан Спину,,,2025-10-14,2026-04-19T00:00:00Z,1935.0,USD,,claimed,multiple_accounts_accusation,UNRESOLVED,True,0.5,,,"Imported from the repository's prior Trustpilot extraction. The historical export preserved reviewer/date/amount fields but not stable per-review URLs, so the corpus retains the main review page as the public source locator.","$1,935 USDT stuck. Blocked after 7 successful withdrawals totaling $2,000+. Full KYC verified.",
TP-038,trustpilot,https://www.trustpilot.com/review/www.rollbit.com,Underage gambler (16 years old),Joris Dajuckis,,,2025-10-18,2026-04-19T00:00:00Z,11000.0,USD,,claimed,account_closure,UNRESOLVED,True,0.5,,,"Imported from the repository's prior Trustpilot extraction. The historical export preserved reviewer/date/amount fields but not stable per-review URLs, so the corpus retains the main review page as the public source locator.","Underage gambler (16 years old). Lost $11,000 over 2-3 years. No age verification. Refund denied.",
TP-034,trustpilot,https://www.trustpilot.com/review/www.rollbit.com,$240 deposited,Shake,,,2025-10-22,2026-04-19T00:00:00Z,420.0,USD,,claimed,kyc_delay_tactic,UNRESOLVED,True,0.5,,,"Imported from the repository's prior Trustpilot extraction. The historical export preserved reviewer/date/amount fields but not stable per-review URLs, so the corpus retains the main review page as the public source locator.",$240 deposited. $420 withdrawal frozen. $321 partially refunded.,
TP-029,trustpilot,https://www.trustpilot.com/review/www.rollbit.com,$500 USDC deposit,Arthur Hoffmann,,,2025-11-05,2026-04-19T00:00:00Z,500.0,USD,,claimed,account_closure,UNRESOLVED,True,0.5,,,"Imported from the repository's prior Trustpilot extraction. The historical export preserved reviewer/date/amount fields but not stable per-review URLs, so the corpus retains the main review page as the public source locator.",$500 USDC deposit. Stake limited to $1 USD. Account disabled. Withdrawal blocked.,
TP-039,trustpilot,https://www.trustpilot.com/review/www.rollbit.com,VIP account restricted after substantial win,SportsDebt,,,2025-11-10,2026-04-19T00:00:00Z,,USD,,unquantified,winning_block,UNRESOLVED,True,0.5,,,"Imported from the repository's prior Trustpilot extraction. The historical export preserved reviewer/date/amount fields but not stable per-review URLs, so the corpus retains the main review page as the public source locator.",VIP account restricted after substantial win. $1.5M USD wagered over months. Refused crypto withdrawal.,
BT-020,bitcointalk,https://bitcointalk.org/index.php?topic=5566400.0,ROLLBIT FROZE MY ACCOUNT ACCUSING ME OF MULTIACOUNTING,jofreyking,,Czech Republic,2025-11-24,2026-04-19T00:00:00Z,530.0,USD,$530,confirmed,multiple_accounts_accusation,UNRESOLVED,True,0.73,,,"Search capture shows the first-post date, detailed complaint text, screenshot references, and the user's stated balance.","Czech user reported that a normal sportsbook bet triggered KYC Level 3, followed by a rejected verification and a multiple-account accusation.","Per the complaint, live support and compliance bounced the user back and forth without allowing a new verification attempt."
TP-006,trustpilot,https://www.trustpilot.com/review/www.rollbit.com,$12k deposit grew to $14k,Jihee Lee,,,2025-11-28,2026-04-19T00:00:00Z,14000.0,USD,,claimed,kyc_delay_tactic,UNRESOLVED,True,0.5,,,"Imported from the repository's prior Trustpilot extraction. The historical export preserved reviewer/date/amount fields but not stable per-review URLs, so the corpus retains the main review page as the public source locator.",$12k deposit grew to $14k. Withdrawal pending indefinitely.,
TP-011,trustpilot,https://www.trustpilot.com/review/www.rollbit.com,Won,Consumer (Nov 29),,,2025-11-29,2026-04-19T00:00:00Z,5000.0,USD,,claimed,multiple_accounts_accusation,UNRESOLVED,True,0.5,,,"Imported from the repository's prior Trustpilot extraction. The historical export preserved reviewer/date/amount fields but not stable per-review URLs, so the corpus retains the main review page as the public source locator.","Won. $2,000 initially paid. $5,000 net winnings blocked via duplicate account claim.",
TP-027,trustpilot,https://www.trustpilot.com/review/www.rollbit.com,$600 withdrawal pending,Assasin,,,2025-11-30,2026-04-19T00:00:00Z,600.0,USD,,claimed,multiple_accounts_accusation,UNRESOLVED,True,0.5,,,"Imported from the repository's prior Trustpilot extraction. The historical export preserved reviewer/date/amount fields but not stable per-review URLs, so the corpus retains the main review page as the public source locator.",$600 withdrawal pending. Accused of duplicate accounts with no evidence.,
TP-012,trustpilot,https://www.trustpilot.com/review/www.rollbit.com,"$5,000+ seized after sports betting wins",Aleks,,,2025-12-07,2026-04-19T00:00:00Z,5000.0,USD,,claimed,multiple_accounts_accusation,UNRESOLVED,True,0.5,,,"Imported from the repository's prior Trustpilot extraction. The historical export preserved reviewer/date/amount fields but not stable per-review URLs, so the corpus retains the main review page as the public source locator.","$5,000+ seized after sports betting wins. All documents sent. Compliance demands 'a list' of other accounts.",
TP-021,trustpilot,https://www.trustpilot.com/review/www.rollbit.com,"$710 deposit + $700 win = $1,270 total seized",Mohit Kumar,,,2025-12-09,2026-04-19T00:00:00Z,1270.0,USD,,claimed,winning_block,UNRESOLVED,True,0.5,,,"Imported from the repository's prior Trustpilot extraction. The historical export preserved reviewer/date/amount fields but not stable per-review URLs, so the corpus retains the main review page as the public source locator.","$710 deposit + $700 win = $1,270 total seized. Account disabled.",
TP-033,trustpilot,https://www.trustpilot.com/review/www.rollbit.com,Account closed without explanation,Jorj Kheb,,,2025-12-11,2026-04-19T00:00:00Z,433.0,USD,,claimed,account_closure,UNRESOLVED,True,0.5,,,"Imported from the repository's prior Trustpilot extraction. The historical export preserved reviewer/date/amount fields but not stable per-review URLs, so the corpus retains the main review page as the public source locator.",Account closed without explanation. $433 seized.,
